user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u36,7,7,0,1,9,8
u37,7,7,0,1,5,10
u38,7,9,0,1,7,10
u39,7,7,0,1,6,6
u40,7,5,1,2,9,60
u41,7,7,1,2,8,53
u42,7,8,1,0,5,55
u43,7,6,1,0,6,44
u44,7,8,1,2,7,47
u45,7,8,1,2,10,48
u46,7,8,0,2,7,48
u47,7,2,1,0,5,48
u48,7,10,0,2,10,38
u49,7,9,1,0,9,35
u50,7,5,1,1,4,32
u51,7,8,1,1,7,30
u52,7,7,1,0,6,26
u53,7,7,1,1,7,24
u54,7,9,0,1,6,24
u55,7,7,0,1,6,27
u56,7,8,1,1,7,27
u57,7,5,1,1,6,24
u58,7,7,1,1,10,22
u59,7,6,0,2,6,29
u60,7,10,0,1,10,23
u61,7,7,0,1,7,21
u62,7,5,0,1,7,22
u63,7,10,0,1,7,22
u64,7,7,0,1,6,21
u65,7,7,0,1,7,22
u66,7,10,0,1,10,24
u67,7,6,0,1,7,25
u68,7,3,0,1,3,21
u69,7,8,0,1,8,29
u70,7,10,0,1,10,22
u71,7,7,0,1,8,21
u72,7,9,1,1,8,22
u73,7,7,1,1,8,23
u74,7,4,1,1,3,16
u75,7,4,1,1,8,23
u76,7,8,0,1,6,23
u77,7,5,1,1,3,19
u78,7,1,1,1,2,17
u79,7,1,1,1,1,16
u80,7,4,1,1,1,18
u81,7,4,1,1,9,18
u82,7,5,1,1,6,17
u83,7,10,0,1,1,20
u84,7,3,0,1,8,20
u85,7,6,0,1,9,18
u86,7,7,0,1,3,21
u87,7,4,0,1,4,19
u88,7,8,0,1,10,23
u89,7,2,0,1,5,19
u90,7,5,0,1,6,20
u91,7,2,1,1,1,23
u92,7,9,0,1,5,20
u93,7,1,0,1,1,18
u94,7,2,0,1,7,21
u95,7,2,0,1,3,21
u96,7,2,0,1,9,22
u97,7,7,1,1,7,21
u98,7,8,1,1,3,23
u99,7,7,1,1,5,22
u100,7,7,1,1,5,23
u1,8,6,1,1,7,23
u2,8,4,0,2,6,58
u3,8,3,1,0,5,84
u4,8,8,1,0,7,47
u5,8,5,1,1,7,16
u6,8,7,1,1,3,16
u7,8,4,1,1,2,16
u8,8,3,1,1,2,15
u9,8,9,0,1,9,15
u10,8,3,0,1,4,16
u11,8,4,0,1,9,16
u12,8,4,0,1,7,16
u13,8,7,0,1,10,16
u14,8,7,0,1,7,16
